id,project_id,content,author,timestamp
14,7,Fiber Cement,Current User,2025-06-24 15:35:14
16,7,Change orders,Current User,2025-06-24 19:10:26
17,9,Test 1,Current User,2025-06-25 13:45:54
23,12,Please see the revised proposal for the EasyTrim substitute for the 2ft stucco portions all around. I separated the furring from the total at the bottom of the proposal for CCA’s review.,Admin,2025-06-27 19:47:27
29,41,"From: Norberto Garcia <ngarcia@thesterlinggrp.com> 
Sent: Thursday, June 26, 2025 10:06 AM
To: Norberto Garcia <ngarcia@thesterlinggrp.com>
Subject: [EXTERNAL]Buy Out Schedule - Argento at Cane Bay

CAUTION: This email originated from outside of the organization. Do not click links or open attachments unless you recognize the sender and know the content is safe.

Good Morning All, 

Thank you for your continued patience throughout the extended bidding process. Below is the buyout schedule for Argento at Cane Bay, along with the assigned team members responsible for each scope.

If you have any questions, please don’t hesitate to reach out. The assigned team member will be reaching out during the scheduled buyout phase per the below. 

Additionally, if you are anticipating any pricing increases that may impact your bid prior to buyout, please notify our team as soon as possible so we can address it accordingly.

Phase One: July/August 2025 

Sr. PM Chad McGinty (cmcginty@thesterlinggrp.",Admin,2025-06-30 15:49:02
30,41,"Phase One: July/August 2025 

Sr. PM Chad McGinty (cmcginty@thesterlinggrp.com)
•	01 General Requirements 
•	Material Testing 
•	Surveying 
•	Concrete 
•	Rough Carpentry Materials
•	Trusses
•	Structural Hardware 
•	Earthwork/Utilities
•	Exterior Improvements

Precon Manager - Hannah Thomas (hthomas@thesterlinggrp.com)
•	MEPs

Phase Two: August/September 2025

Sr. PM Chad McGinty (cmcginty@thesterlinggrp.com)
•	Masonry 
•	Metals 
•	Rough Carpentry Subcontractor 
•	Insulation 
•	Roofing 
•	Siding 
•	Joint Sealants
•	Overhead Doors
•	Flooring 
•	Paint/Drywall/Wallcovering
",Admin,2025-06-30 15:50:50
31,45," All composite siding and trim priced as fiber cement.
 All fascia considered with only vinyl soffit contemplated.
 Garage door trim contemplated as fiber cement.
 Roof well wall contemplated as fiber cement panel.
 Composite trim at beam priced as fiber cement.
 Columns contemplated as wrapped in fiber cement.
  3 buildings Type 56.
  2 buildings Type 63.
  3 garages included.
  2 storage buildings included.
  1 multi-use building included.

  Aluminum fascia not included in scope.
 No fiber cement ceiling contemplated at balcony areas.
 No siding contemplated at corridor areas.
 Clubhouse not included in the proposal due to lack of available drawings.
",Admin,2025-07-02 12:55:03
32,47,"Kevin va a llamar a Southern Builders para ver si tenemos tiempo para enviar el proposal. De ser así, deberiamos derivarlo a EJ.",Admin,2025-07-07 20:53:20
33,48,Kevin se va a comunicar con Wood Partners para pedir extensión de tiempo. De momento Gerardo va a convalidar con los nuevos planos. Yo he revisado los planos y noté que diferencian en columnas de porsches.,Admin,2025-07-07 20:55:09
34,29,Tengo que mandar un email para presentarme y preguntar por el TBD del proyecto.,Admin,2025-07-07 21:02:40
35,28,"Ya están compatibilizados el Building 1 y 2, faltan Amenities.",Admin,2025-07-08 12:27:25
36,38,Los owners lo pusieron en Hold por problemas con los fondos financieros. Mauricio enviará un mail para tener updates.,Admin,2025-07-08 13:49:48
38,26,El Due Date fue para el 31 de octubre del 2024. Kevin se va a poner en contacto con Ben Stickney para corroborar si hay un nuevo Due Date.,Admin,2025-07-08 15:14:51
39,49,Este proyecto cuanta ocn una actualización de planos. Gerardo va a compatibilizar con el anterior archivo de Prebuilt que se encuentra seteado.,Admin,2025-07-08 15:28:25
40,24,Mauricio está esperando respuesta de Cody para ver en qué estado nos encontramos con ese proposal.,Admin,2025-07-08 15:45:29
41,33,Kevin se encuentra haciendo la validación.,Admin,2025-07-08 15:46:18
42,13,Kevin escribió un correo con la siguiente información: 'Esto ya está dentro de nuestro proposal log y es una continuación de un proyecto que ya hemos medido y mandado una propuesta. Yo me encargaré de esto'.,Admin,2025-07-08 16:07:10
